LATITUDE,LONGITUDE,UTM_X,UTM_Y,UTM_ZONE,DATE,TIME,SATELLITE,CONFIDENCE,ORG,TUMBOON,AUMPER,PROVINCE,NAME,ZONE 
14.85216,99.30685,533011,1641997,47P,17/02/2019,1312,S,1,NASA,องค์พระ,ด่านช้าง,สุพรรณบุรี,เกษตรกรรม,AGI
13.59323,102.1366,190128,1504561,48P,17/02/2019,1312,S,1,NASA,คลองหินปูน,วังน้ำเย็น,สระแก้ว,เกษตรกรรม,AGI
13.60697,101.90627,814497,1506138,47P,17/02/2019,1312,S,1,NASA,วังท่าช้าง,กบินทร์บุรี,ปราจีนบุรี,เกษตรกรรม,AGI
13.61057,101.90565,814425,1506535,47P,17/02/2019,1312,S,1,NASA,วังท่าช้าง,กบินทร์บุรี,ปราจีนบุรี,เกษตรกรรม,AGI
13.68083,102.40681,219492,1513930,48P,17/02/2019,1312,S,1,NASA,คลองทับจันทร์,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.68271,102.52983,232808,1513999,48P,17/02/2019,1312,S,1,NASA,ป่าไร่,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.68435,102.40622,219432,1514321,48P,17/02/2019,1312,S,1,NASA,คลองทับจันทร์,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.685,102.41024,219868,1514388,48P,17/02/2019,1312,S,1,NASA,คลองทับจันทร์,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.68968,102.35166,213533,1514975,48P,17/02/2019,1312,S,1,NASA,ผักขะ,วัฒนานคร,สระแก้ว,เกษตรกรรม,AGI
13.68997,102.35139,213504,1515007,48P,17/02/2019,1312,S,1,NASA,ผักขะ,วัฒนานคร,สระแก้ว,เกษตรกรรม,AGI
13.70782,102.43951,223063,1516880,48P,17/02/2019,1312,S,1,NASA,บ้านด่าน,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.71132,102.43891,223002,1517268,48P,17/02/2019,1312,S,1,NASA,บ้านด่าน,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.763,102.44663,223898,1522980,48P,17/02/2019,1312,S,1,NASA,หันทราย,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.7656,102.46264,225633,1523249,48P,17/02/2019,1312,S,1,NASA,หันทราย,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
13.7665,102.44604,223838,1523368,48P,17/02/2019,1312,S,1,NASA,หันทราย,อรัญประเทศ,สระแก้ว,เกษตรกรรม,AGI
